timestamp,temp_c,dewpoint_c,wind_speed,solar_rad
2018-01-04 00:00:00+00:00,6.6650696,5.27359,1.0989839,0.0
2018-01-04 01:00:00+00:00,6.695984,5.3320312,1.0218358,0.0
2018-01-04 02:00:00+00:00,6.462616,5.0217896,1.0709882,0.0
2018-01-04 03:00:00+00:00,6.556305,5.1598816,1.1395557,0.0
2018-01-04 04:00:00+00:00,6.5107727,5.109375,1.1010165,0.0
2018-01-04 05:00:00+00:00,6.607544,5.0737305,0.92227286,669.3334
2018-01-04 06:00:00+00:00,6.4914246,5.0783386,0.8741376,54584.668
2018-01-04 07:00:00+00:00,6.850281,5.334717,1.0601416,233831.34
2018-01-04 08:00:00+00:00,7.821289,5.7655945,1.2276679,304336.03
2018-01-04 09:00:00+00:00,8.319733,5.9527283,1.3759469,227001.33
2018-01-04 10:00:00+00:00,9.145233,6.1322937,1.4689342,140693.33
2018-01-04 11:00:00+00:00,9.439087,5.967499,1.3256823,42171.332
2018-01-04 12:00:00+00:00,9.540405,5.99704,1.3653858,9880.0
2018-01-04 13:00:00+00:00,9.424622,6.00177,1.3935218,0.0
2018-01-04 14:00:00+00:00,8.90213,6.2219543,1.7517756,0.0
2018-01-04 15:00:00+00:00,8.288391,5.9704895,2.1225753,0.0
2018-01-04 16:00:00+00:00,7.766693,5.737091,2.1477995,0.0
2018-01-04 17:00:00+00:00,7.0811462,5.4393616,2.2254877,0.0
2018-01-04 18:00:00+00:00,7.018463,5.445709,2.2351637,0.0
2018-01-04 19:00:00+00:00,6.8548584,5.280792,2.1642778,0.0
2018-01-04 20:00:00+00:00,6.413208,5.0025635,2.101695,0.0
2018-01-04 21:00:00+00:00,6.4082947,5.060272,2.100593,0.0
2018-01-04 22:00:00+00:00,6.306366,4.865143,2.235433,0.0
2018-01-04 23:00:00+00:00,6.416504,4.8703613,2.225896,0.0
2018-01-05 00:00:00+00:00,6.437378,4.802582,2.1686933,0.0
2018-01-05 01:00:00+00:00,6.3292236,4.6891785,2.1860955,0.0
2018-01-05 02:00:00+00:00,6.260437,4.6624756,2.141377,0.0
2018-01-05 03:00:00+00:00,6.193695,4.6195374,2.1590412,0.0
2018-01-05 04:00:00+00:00,6.236084,4.608551,2.250601,0.0
2018-01-05 05:00:00+00:00,6.2382812,4.5152283,2.2716656,590.6666
2018-01-05 06:00:00+00:00,6.223175,4.4433594,2.2289686,45354.004
2018-01-05 07:00:00+00:00,6.6200867,4.6209106,2.2727175,218460.66
2018-01-05 08:00:00+00:00,7.9061584,4.8333435,2.4754314,257965.31
2018-01-05 09:00:00+00:00,8.431213,5.013336,2.3691301,251580.67
2018-01-05 10:00:00+00:00,9.127167,4.715912,1.9997077,107532.67
2018-01-05 11:00:00+00:00,9.306,4.7964478,1.7527068,22558.666
2018-01-05 12:00:00+00:00,9.409332,4.813385,1.7320735,9573.333
2018-01-05 13:00:00+00:00,9.390411,4.7581177,1.7414188,3366.6667
2018-01-05 14:00:00+00:00,8.861877,4.563202,1.4615383,0.0
2018-01-05 15:00:00+00:00,8.342957,4.562683,1.3240697,0.0
2018-01-05 16:00:00+00:00,8.077728,4.4431458,1.217959,0.0
2018-01-05 17:00:00+00:00,7.494446,4.164856,1.0983936,0.0
2018-01-05 18:00:00+00:00,7.1739197,4.199768,0.9450695,0.0
2018-01-05 19:00:00+00:00,7.044037,4.04776,0.8325371,0.0
2018-01-05 20:00:00+00:00,6.5789185,3.8308716,0.68924344,0.0
2018-01-05 21:00:00+00:00,6.3065796,3.5054321,0.6296582,0.0
2018-01-05 22:00:00+00:00,5.601898,2.9206238,0.6486035,0.0
2018-01-05 23:00:00+00:00,5.4776917,2.794159,0.5569942,0.0
2018-01-06 00:00:00+00:00,5.3059998,2.6245422,0.43278122,0.0
2018-01-06 01:00:00+00:00,5.160675,2.483551,0.3593896,0.0
2018-01-06 02:00:00+00:00,4.467926,2.0647278,0.35589808,0.0
2018-01-06 03:00:00+00:00,4.2955933,2.0196228,0.3666476,0.0
2018-01-06 04:00:00+00:00,4.116516,2.0833435,0.21651456,0.0
2018-01-06 05:00:00+00:00,4.004364,2.226471,0.14862972,1445.9999
2018-01-06 06:00:00+00:00,4.277008,2.2795105,0.14391746,98243.33
2018-01-06 07:00:00+00:00,5.434845,3.124054,0.25850603,375358.62
2018-01-06 08:00:00+00:00,7.9200134,3.912323,0.30634686,414227.97
2018-01-06 09:00:00+00:00,8.813507,3.9027405,0.27969903,350451.34
2018-01-06 10:00:00+00:00,10.096924,3.9469604,0.31480095,177921.33
2018-01-06 11:00:00+00:00,10.581512,4.0800476,0.3409498,45290.668
2018-01-06 12:00:00+00:00,10.888519,4.193115,0.3032934,1174.6667
2018-01-06 13:00:00+00:00,11.037567,4.248993,0.26209208,0.0
2018-01-06 14:00:00+00:00,10.221619,5.2537537,0.3299957,0.0
2018-01-06 15:00:00+00:00,8.732574,4.611084,0.58556986,0.0
2018-01-06 16:00:00+00:00,7.697815,4.1992493,0.4578536,0.0
2018-01-06 17:00:00+00:00,6.217407,3.4944763,0.2325494,0.0
2018-01-06 18:00:00+00:00,5.7554016,3.2798157,0.06396496,0.0
2018-01-06 19:00:00+00:00,5.5369263,3.198578,0.27351874,0.0
2018-01-06 20:00:00+00:00,4.4770813,2.589264,0.39182165,0.0
2018-01-06 21:00:00+00:00,4.0917053,2.308075,0.4475108,0.0
2018-01-06 22:00:00+00:00,3.8609009,2.0007324,0.53914076,0.0
2018-01-06 23:00:00+00:00,3.771576,1.8638306,0.6998219,0.0
2018-01-07 00:00:00+00:00,3.6376648,1.5088196,0.78165907,0.0
2018-01-07 01:00:00+00:00,3.5516052,1.367279,0.8028704,0.0
2018-01-07 02:00:00+00:00,3.2949219,1.1680603,0.8262894,0.0
2018-01-07 03:00:00+00:00,3.2674255,1.0249634,0.85482657,0.0
2018-01-07 04:00:00+00:00,3.1913452,0.9458008,0.9703002,0.0
2018-01-07 05:00:00+00:00,3.2488403,0.96817017,1.0087492,1575.3333
2018-01-07 06:00:00+00:00,3.653595,1.1903992,0.99116224,118812.664
2018-01-07 07:00:00+00:00,5.1550903,2.3104553,1.086585,433453.34
2018-01-07 08:00:00+00:00,8.070251,3.4722595,1.1304351,488163.34
2018-01-07 09:00:00+00:00,9.476654,3.6779785,1.1762824,406629.3
2018-01-07 10:00:00+00:00,11.033936,3.6392517,1.0163345,201384.02
2018-01-07 11:00:00+00:00,11.730133,4.0190125,1.1897807,25151.336
2018-01-07 12:00:00+00:00,12.122345,4.1575317,1.413717,0.0
2018-01-07 13:00:00+00:00,12.270508,4.297058,1.4981227,0.0
2018-01-07 14:00:00+00:00,11.083466,4.773926,1.5328035,0.0
2018-01-07 15:00:00+00:00,9.393158,4.442688,1.5727903,0.0
2018-01-07 16:00:00+00:00,8.492767,4.1715393,1.2701432,0.0
2018-01-07 17:00:00+00:00,6.95401,3.86026,1.1455525,0.0
2018-01-07 18:00:00+00:00,6.3519897,3.5832214,1.1042088,0.0
2018-01-07 19:00:00+00:00,6.1333313,3.497345,1.1262683,0.0
2018-01-07 20:00:00+00:00,5.326996,2.938385,1.0921446,0.0
2018-01-07 21:00:00+00:00,4.8565063,2.6716309,1.0456653,0.0
2018-01-07 22:00:00+00:00,4.406433,2.4249268,0.95637476,0.0
2018-01-07 23:00:00+00:00,4.201538,2.2540894,0.8625057,0.0
2018-01-08 00:00:00+00:00,3.9879456,2.1044312,0.8595078,0.0
2018-01-08 01:00:00+00:00,3.9360962,2.0775757,0.84376884,0.0
2018-01-08 02:00:00+00:00,3.6103516,1.8830872,0.8670928,0.0
2018-01-08 03:00:00+00:00,3.7027283,1.8227234,0.87050575,0.0
2018-01-08 04:00:00+00:00,3.5996094,1.7052612,0.83548105,0.0
2018-01-08 05:00:00+00:00,3.8959045,1.8921814,0.83411086,1609.3334
2018-01-08 06:00:00+00:00,4.179718,2.267212,0.8316239,124608.664
2018-01-08 07:00:00+00:00,5.488678,3.1707458,0.9278491,440564.0
2018-01-08 08:00:00+00:00,7.883789,4.032013,0.8933659,461538.7
2018-01-08 09:00:00+00:00,9.063873,4.062744,0.89823234,352407.34
2018-01-08 10:00:00+00:00,10.313416,4.3883057,1.0511014,191744.0
2018-01-08 11:00:00+00:00,10.922852,4.4755554,1.0403225,16450.0
2018-01-08 12:00:00+00:00,11.238556,4.590332,0.91365963,8946.667
2018-01-08 13:00:00+00:00,11.25589,4.8114014,0.8257831,0.0
2018-01-08 14:00:00+00:00,10.12439,5.92157,0.71572864,0.0
2018-01-08 15:00:00+00:00,8.900421,5.4062195,0.66497934,0.0
2018-01-08 16:00:00+00:00,8.000519,4.9928284,0.5615618,0.0
2018-01-08 17:00:00+00:00,6.56839,4.3820496,0.50544983,0.0
2018-01-08 18:00:00+00:00,6.260437,4.1769714,0.4578494,0.0
2018-01-08 19:00:00+00:00,5.971649,3.9871216,0.4125109,0.0
2018-01-08 20:00:00+00:00,5.4729614,3.5641174,0.45525244,0.0
2018-01-08 21:00:00+00:00,5.1512146,3.427887,0.4978211,0.0
2018-01-08 22:00:00+00:00,4.7065735,2.8626099,0.5541916,0.0
2018-01-08 23:00:00+00:00,4.62265,2.7760315,0.5692046,0.0
