model,date,day_mae,n_hours,regime_dominant,mean_temp_c,max_temp_c,ramadan_hours,weekend
time-moe-200m-L720,2025-03-29,5774.241715494792,24,Ramadan,14.621185291666668,18.550842,21,True
time-moe-200m-L720,2025-01-01,5056.1948860677085,24,Normal,5.253238666666666,10.428192,0,False
time-moe-200m-L720,2024-04-11,4999.6074837239585,24,Normal,14.606006645833332,19.527985,0,False
time-moe-200m-L720,2024-06-17,4956.550810546875,24,Normal,25.031096166666668,30.569733,0,False
time-moe-200m-L720,2024-06-20,4947.469143880208,24,Heatwave,26.55520375,32.078094,0,False
mstl_ets-nohijri,2024-06-15,9833.301710540285,24,Heatwave,23.917369875000002,28.131378,0,True
mstl_ets-nohijri,2024-04-09,9572.859427937101,24,Ramadan,13.446641333333332,17.4393,21,False
mstl_ets-nohijri,2024-04-14,8795.778974241044,24,Normal,15.546146458333332,20.068024,0,True
mstl_ets-nohijri,2024-06-16,8173.273109092289,24,Normal,24.0474675,29.238617,0,True
mstl_ets-nohijri,2024-04-10,8139.74343596835,24,Normal,13.829931958333333,18.157349,0,False
mstl_ets-nohijri,2024-01-03,7704.653230698317,24,Normal,10.306109104166667,12.921722,0,False
mstl_ets-nohijri,2025-01-01,7535.313435968349,24,Normal,5.253238666666666,10.428192,0,False
mstl_ets-nohijri,2025-01-03,7365.338048851733,24,Normal,7.307117470833333,11.698517,0,False
mstl_ets-nohijri,2024-06-20,7326.316385543162,24,Heatwave,26.55520375,32.078094,0,False
mstl_ets-nohijri,2024-06-21,7201.500548851732,24,Heatwave,26.332325,31.231384,0,False
mstl_ets-hijri,2024-06-15,9833.301710540285,24,Heatwave,23.917369875000002,28.131378,0,True
mstl_ets-hijri,2024-04-09,9465.750956417345,24,Ramadan,13.446641333333332,17.4393,21,False
mstl_ets-hijri,2024-04-14,8795.778974241044,24,Normal,15.546146458333332,20.068024,0,True
mstl_ets-hijri,2024-06-16,8173.273109092289,24,Normal,24.0474675,29.238617,0,True
mstl_ets-hijri,2024-04-10,8139.74343596835,24,Normal,13.829931958333333,18.157349,0,False
mstl_ets-hijri,2024-01-03,7704.653230698317,24,Normal,10.306109104166667,12.921722,0,False
mstl_ets-hijri,2025-01-01,7535.313435968349,24,Normal,5.253238666666666,10.428192,0,False
mstl_ets-hijri,2025-01-03,7365.338048851733,24,Normal,7.307117470833333,11.698517,0,False
mstl_ets-hijri,2024-06-20,7326.316385543162,24,Heatwave,26.55520375,32.078094,0,False
mstl_ets-hijri,2024-06-21,7201.500548851732,24,Heatwave,26.332325,31.231384,0,False
sarimax-nohijri,2025-03-30,11746.600678384966,24,Normal,12.381099791666665,15.904938,0,True
sarimax-nohijri,2024-06-16,11251.7879179516,24,Normal,24.0474675,29.238617,0,True
sarimax-nohijri,2024-04-10,9237.490871715212,24,Normal,13.829931958333333,18.157349,0,False
sarimax-nohijri,2024-06-15,8690.660200151588,24,Heatwave,23.917369875000002,28.131378,0,True
sarimax-nohijri,2025-03-29,8518.094121461892,24,Ramadan,14.621185291666668,18.550842,21,True
sarimax-nohijri,2025-03-02,7640.659402846931,24,Ramadan,7.295716612500001,12.595398,24,True
sarimax-nohijri,2024-03-31,7498.563331011584,24,Ramadan,17.162663833333333,23.868256,24,True
sarimax-nohijri,2024-09-22,7282.318708638531,24,Normal,18.984883749999998,22.35492,0,True
sarimax-nohijri,2024-06-17,7175.447280932196,24,Normal,25.031096166666668,30.569733,0,False
sarimax-nohijri,2025-03-31,7023.886352624088,24,Normal,12.593119291666667,16.313995,0,False
sarimax-hijri,2024-06-16,11287.396403723584,24,Normal,24.0474675,29.238617,0,True
sarimax-hijri,2024-06-15,8575.104728717286,24,Heatwave,23.917369875000002,28.131378,0,True
sarimax-hijri,2025-03-02,7766.34741624123,24,Ramadan,7.295716612500001,12.595398,24,True
sarimax-hijri,2025-03-29,7709.843176893522,24,Ramadan,14.621185291666668,18.550842,21,True
sarimax-hijri,2025-03-30,7669.484473160194,24,Normal,12.381099791666665,15.904938,0,True
sarimax-hijri,2024-06-17,7378.9644606986,24,Normal,25.031096166666668,30.569733,0,False
sarimax-hijri,2024-09-22,7330.33455975887,24,Normal,18.984883749999998,22.35492,0,True
sarimax-hijri,2024-03-31,7212.092056501428,24,Ramadan,17.162663833333333,23.868256,24,True
sarimax-hijri,2024-09-01,7077.357954378486,24,Normal,23.94291183333333,28.488312,0,True
sarimax-hijri,2025-02-16,6989.5499019136905,24,Normal,6.904974616666667,10.835815,0,True
patchtsmixer-nohijri-L168,2024-06-15,6652.433219401042,24,Heatwave,23.917369875000002,28.131378,0,True
patchtsmixer-nohijri-L168,2024-01-01,5211.416142578125,24,Normal,9.039756804166666,12.775635,0,False
patchtsmixer-nohijri-L168,2024-04-15,5174.762623697917,24,Normal,16.694583916666666,22.706299,0,False
patchtsmixer-nohijri-L168,2024-04-09,5027.40421875,24,Ramadan,13.446641333333332,17.4393,21,False
patchtsmixer-nohijri-L168,2024-04-10,4517.239039713541,24,Normal,13.829931958333333,18.157349,0,False
patchtsmixer-nohijri-L168,2024-04-08,3841.2228938802073,24,Ramadan,12.643294062499999,16.420319,24,False
patchtsmixer-nohijri-L168,2024-08-30,3802.3609309895833,24,Normal,24.544277249999997,28.727234,0,False
patchtsmixer-nohijri-L168,2025-03-29,3753.37705078125,24,Ramadan,14.621185291666668,18.550842,21,True
patchtsmixer-nohijri-L168,2024-06-14,3656.1938997395823,24,Heatwave,26.807337458333333,32.530334,0,False
patchtsmixer-nohijri-L168,2025-01-01,3601.3594238281253,24,Normal,5.253238666666666,10.428192,0,False
patchtsmixer-hijri-L168,2024-06-15,7078.50458984375,24,Heatwave,23.917369875000002,28.131378,0,True
patchtsmixer-hijri-L168,2024-01-01,5733.318001302083,24,Normal,9.039756804166666,12.775635,0,False
patchtsmixer-hijri-L168,2025-03-29,4619.086523437501,24,Ramadan,14.621185291666668,18.550842,21,True
patchtsmixer-hijri-L168,2024-04-15,4469.546559244792,24,Normal,16.694583916666666,22.706299,0,False
patchtsmixer-hijri-L168,2024-12-31,3996.1100130208342,24,Normal,6.0685539375,9.424103,0,False
patchtsmixer-hijri-L168,2024-08-30,3811.1727799479163,24,Normal,24.544277249999997,28.727234,0,False
patchtsmixer-hijri-L168,2024-04-09,3748.4433626302084,24,Ramadan,13.446641333333332,17.4393,21,False
patchtsmixer-hijri-L168,2024-01-08,3687.094654947916,24,Normal,10.763132687499999,12.966949,0,False
patchtsmixer-hijri-L168,2024-04-08,3657.892246093749,24,Ramadan,12.643294062499999,16.420319,24,False
patchtsmixer-hijri-L168,2025-01-01,3655.986272786458,24,Normal,5.253238666666666,10.428192,0,False
