date,lgbm-nohijri,lgbm-hijri,chronos-bolt-L720,timesfm-2.5-L168,moirai-1.1-small-L336,time-moe-200m-L720,mstl_ets-nohijri,mstl_ets-hijri,sarimax-nohijri,sarimax-hijri,patchtsmixer-nohijri-L168,patchtsmixer-hijri-L168,mean_mae_across_models,mean_temp_c,max_temp_c,ramadan_hours,regime,weekend
2024-06-15,7186.175326713714,7370.344015367026,7275.198274739584,5774.574332682292,6926.180533854167,7294.56220703125,9833.301710540285,9833.301710540285,8690.660200151588,8575.104728717286,6652.433219401042,7078.50458984375,7707.5284041318555,23.917369875000002,28.131378,0,Heatwave,True
2024-04-10,6432.765060367263,1981.9790919921427,7960.480250651041,7833.936468098957,6245.295761718749,8316.220891927083,8139.74343596835,8139.74343596835,9237.490871715212,5275.957678799703,4517.239039713541,2718.5466569010414,6399.94988698512,13.829931958333333,18.157349,0,Normal,False
2024-01-01,6650.74487782067,6765.352616786211,5818.936083984375,5643.513232421875,4244.824755859375,5782.998990885416,5988.630500856868,5988.630500856868,5793.759744489951,5867.891804429316,5211.416142578125,5733.318001302083,5790.834771022594,9.039756804166666,12.775635,0,Normal,False
2025-01-01,5066.635970736288,4983.5293058236375,6289.032216796874,6066.936269531249,6469.517890625,5056.1948860677085,7535.313435968349,7535.313435968349,6337.805362133958,6367.946677580403,3601.3594238281253,3655.986272786458,5747.1309289872,5.253238666666666,10.428192,0,Normal,False
2024-04-09,3726.687634246884,1407.3342924132448,5488.961835937499,5893.272382812499,6012.930260416666,6983.134361979166,9572.859427937101,9465.750956417345,5972.360732416135,5275.163211535022,5027.40421875,3748.4433626302084,5714.525223124314,13.446641333333332,17.4393,21,Ramadan,False
2025-03-29,4039.0452178532487,3164.9449833923622,5683.619889322917,5556.400406901042,5757.914892578126,5774.241715494792,5756.625460540284,5649.516989020528,8518.094121461892,7709.843176893522,3753.37705078125,4619.086523437501,5498.5592023064555,14.621185291666668,18.550842,21,Ramadan,True
2024-06-16,2960.973469668865,3173.6352142429464,3268.302721354167,5842.388333333333,3827.3884309895834,2489.9866406250003,8173.273109092289,8173.273109092289,11251.7879179516,11287.396403723584,3404.716051432292,2096.094951171875,5495.768029389819,24.0474675,29.238617,0,Normal,True
2024-06-17,3585.8634030531725,3997.6222746435246,7532.584990234375,7747.65603515625,5353.141468098958,4956.550810546875,5343.500917523535,5343.500917523535,7175.447280932196,7378.9644606986,3333.94900390625,2654.0062955729168,5366.898988157515,25.031096166666668,30.569733,0,Normal,False
2025-03-30,3286.9982671118355,1129.3610700308825,4052.538131510417,5428.7733203125,4273.860315755209,3964.7652636718753,5573.753109092286,5573.753109092286,11746.600678384966,7669.484473160194,2627.9814029947916,2047.4191731770832,4781.274026191194,12.381099791666665,15.904938,0,Normal,True
2024-04-15,2611.0355827191147,2916.80713806842,6034.485817057292,5654.310361328125,5581.256891276041,4397.049293619792,5063.896999143129,5063.896999143129,5782.912626323137,4401.058800038766,5174.762623697917,4469.546559244792,4762.584974304971,16.694583916666666,22.706299,0,Normal,False
