model,hour,regime,mae,n
lgbm-hijri,5,aggregate,961.7699919882233,456
lgbm-hijri,6,aggregate,1127.2050435452047,456
lgbm-hijri,7,aggregate,1244.1803290751993,456
lgbm-hijri,8,aggregate,1361.5840189825544,456
lgbm-hijri,9,aggregate,1228.6243308761761,456
lgbm-hijri,10,aggregate,1354.2203540080184,456
lgbm-hijri,11,aggregate,1467.8872584342537,456
lgbm-hijri,12,aggregate,1425.317667537114,456
lgbm-hijri,13,aggregate,1425.3667629436598,456
lgbm-hijri,14,aggregate,1313.232629518712,456
lgbm-hijri,15,aggregate,1120.6662150237762,456
lgbm-hijri,16,aggregate,997.2739206122558,456
lgbm-hijri,17,aggregate,974.1407202554991,456
lgbm-hijri,18,aggregate,873.5932047740163,456
lgbm-hijri,19,aggregate,775.6629826545102,456
lgbm-hijri,20,aggregate,711.8264216888296,456
lgbm-hijri,21,aggregate,594.9463025664251,456
lgbm-hijri,22,aggregate,576.037281228745,456
lgbm-hijri,23,aggregate,562.7081565776626,456
lgbm-hijri,0,Heatwave,1150.0900457997018,64
lgbm-hijri,1,Heatwave,999.7641926596485,64
lgbm-hijri,2,Heatwave,955.4045412179089,64
lgbm-hijri,3,Heatwave,925.3160895654132,64
lgbm-hijri,4,Heatwave,944.4091731236922,64
lgbm-hijri,5,Heatwave,1155.078798939615,64
lgbm-hijri,6,Heatwave,1383.2529830166236,64
lgbm-hijri,7,Heatwave,2026.6798981416123,64
lgbm-hijri,8,Heatwave,2691.434573903678,64
lgbm-hijri,9,Heatwave,2211.0265331929786,64
lgbm-hijri,10,Heatwave,2558.1430582040193,64
lgbm-hijri,11,Heatwave,3183.0463907207777,64
lgbm-hijri,12,Heatwave,3005.3640897949863,64
lgbm-hijri,13,Heatwave,2909.5641902081206,64
lgbm-hijri,14,Heatwave,2382.2827252693382,64
lgbm-hijri,15,Heatwave,1520.1113660200733,64
lgbm-hijri,16,Heatwave,1403.8285608304554,64
lgbm-hijri,17,Heatwave,1929.5902748365934,64
lgbm-hijri,18,Heatwave,1767.4982556441719,64
lgbm-hijri,19,Heatwave,1410.569085124334,64
lgbm-hijri,20,Heatwave,1258.5458633146802,64
lgbm-hijri,21,Heatwave,983.620516230991,64
lgbm-hijri,22,Heatwave,949.231976976072,64
lgbm-hijri,23,Heatwave,927.195821940863,64
lgbm-hijri,0,Normal,592.8465414163406,333
lgbm-hijri,1,Normal,557.3738116304304,333
lgbm-hijri,2,Normal,552.5196313445124,333
lgbm-hijri,3,Normal,647.3200111097534,333
lgbm-hijri,4,Normal,743.3345219167805,333
lgbm-hijri,5,Normal,940.2551946145966,333
lgbm-hijri,6,Normal,1086.4919669176688,333
lgbm-hijri,7,Normal,1111.7171898951617,333
lgbm-hijri,8,Normal,1161.1141288457125,333
lgbm-hijri,9,Normal,1080.2856906455968,333
lgbm-hijri,10,Normal,1172.541600338234,333
lgbm-hijri,11,Normal,1192.62692977332,333
lgbm-hijri,12,Normal,1187.0935214865735,333
lgbm-hijri,13,Normal,1216.4527685924324,333
lgbm-hijri,14,Normal,1171.805352427295,333
lgbm-hijri,15,Normal,1095.3891088609992,333
lgbm-hijri,16,Normal,966.7928401781539,333
lgbm-hijri,17,Normal,844.553688423534,333
lgbm-hijri,18,Normal,736.998424992522,333
